from,to,relation
hr,fue,3
hr,vb,2
hr,me,1
hr,tt,7
fh,mil,7
mf,mr,2
mf,fue,5
me,mil,3
me,mf,1
me,pw,4
cw,gs,1
cw,eso,3
rl,fue,5
rp,mil,3
tg,fue,6
mh,mil,3
mr,fue,6
pw,rp,4
pw,mil,3
pw,ver,3
rr,fue,6
bm,fue,6
am,mil,3
sb,ver,3
sb,mil,3
fr,ver,3
fr,eso,3
